date_collected,settlement_rad,juv_mean_growth_rate,jg_2d,juv_age,age_group,meanTemp_juv,site_code,hide_num_of_times,shelter_time_total_sec,shelter_time_mean_sec,max_V_cm,max_H_cm,adult_density_per7m2,num_times_chased_by_conspecifics,num_bites
7/23/08,219.6100006,5.495000204,5.98000335,6,younger,29.35497365,SL,3,5,1.666666667,4,14,1,0,NA
7/23/08,227.0099945,5.79166921,5.7900009,6,younger,29.35497365,SL,2,5,2.5,4,12,4,0,NA
7/23/08,247.5399933,6.283340454,6.5250015,3,younger,29.62518116,SL,14,110,7.857142857,4,40,6,2,NA
7/23/08,213.4100037,5.599090576,5.97499845,11,older,29.11292682,SL,3,14,4.666666667,2.5,13,2,0,NA
7/23/08,237.3099976,5.072221544,5.61499785,9,younger,29.1526861,SL,14,100,7.142857143,4,17,2,0,NA
7/23/08,240.1699982,6.88999939,NA,1,younger,29.73786232,SL,13,90,6.923076923,2.5,19,2,0,NA
7/23/08,210.7799988,5.915000916,5.79499815,6,younger,29.35497365,SL,7,246,35.14285714,1.5,10,3,0,NA
7/23/08,206.3500061,5.865997314,5.9749985,5,younger,29.47095411,SL,7,32,4.571428571,2.5,7,3,2,NA
7/23/08,234.0099945,6.159999847,6.16000365,4,younger,29.58847826,SL,10,53,5.3,6,11,2,1,NA
7/23/08,241.2400055,6.013998413,5.9799957,5,younger,29.47095411,SL,1,4,4,7,13,3,0,NA
7/23/08,213.6399994,7.138569423,7.05999755,7,younger,29.25435194,SL,11,36,3.272727273,6,62,1,2,NA
7/23/08,214.2599945,5.196670532,5.26000215,3,younger,29.62518116,SL,6,87,14.5,3,9,5,0,NA
7/23/08,231.8800049,6.377996826,6.33999635,5,younger,29.47095411,SL,18,110,6.111111111,15,25,4,0,NA
7/23/08,226.3300018,5.434997559,5.43499755,2,younger,29.66413043,SL,5,154,30.8,4,10,4,1,NA
7/23/08,223.5200043,5.856666565,5.79499815,6,younger,29.35497365,SL,8,205,25.625,2.5,10,4,0,NA
7/24/08,233.8899994,5.975002289,6.15499875,4,younger,29.64681159,SI,5,24,4.8,4,8,15,0,NA
7/24/08,203.8000031,5.921666463,5.9799957,6,younger,29.50843685,SI,2,18,9,5,24,19,0,NA
7/24/08,229.5800018,5.309997559,5.25,3,younger,29.68143116,SI,10,53,5.3,4,12,6,0,NA
7/24/08,233.9299927,5.553334554,5.7950058,6,younger,29.50843685,SI,2,3,1.5,5,32,3,1,NA
7/24/08,225.1900024,5.669998169,5.61000065,3,younger,29.68143116,SI,11,220,20,2.5,18,5,0,NA
7/24/08,222.8200073,6.523330688,6.5249939,3,younger,29.68143116,SI,9,55,6.111111111,4,32,3,1,NA
7/24/08,245.8099976,4.531667074,4.71500395,6,younger,29.50843685,SI,5,15,3,4,15,4,5,NA
7/24/08,212.6100006,5.434997559,5.43499755,2,younger,29.73635266,SI,17,67,3.941176471,3,14,8,3,NA
7/24/08,212.3300018,4.466664632,4.16500095,3,younger,29.68143116,SI,6,151,25.16666667,5,21,7,0,NA
7/24/08,214.5299988,4.469999525,4.70999905,9,younger,29.24056489,SI,7,70,10,5,37,3,NA,NA
7/24/08,222.7700043,6.25,6.3399963,4,younger,29.64681159,SI,1,8,8,7.5,14,11,NA,NA
7/24/08,233.2799988,5.588570731,6.34000395,7,younger,29.40226861,SI,7,49,7,7.5,24,9,1,NA
7/24/08,213.9400024,6.880004883,NA,1,younger,29.77536232,SI,3,4,1.333333333,2.5,14,4,NA,NA
7/24/08,221.7400055,5.553329468,5.79499815,3,younger,29.68143116,SI,8,19,2.375,2,10,4,3,NA
7/24/08,215.4299927,5.430002849,5.4300003,3,younger,29.68143116,SI,3,38,12.66666667,2.5,16,6,1,NA
7/24/08,227.1600037,5.432498932,5.61499785,4,younger,29.64681159,SI,0,0,0,5,18,6,NA,NA
7/24/08,229.8999939,5.248752594,5.4300003,8,younger,29.3075721,SI,3,5,1.666666667,5,13,3,3,NA
7/24/08,215.0399933,6.213335673,6.1500015,6,younger,29.50843685,SI,2,34,17,5,22,6,2,NA
7/24/08,252.6699982,6.520004272,NA,1,younger,29.77536232,SI,5,30,6,3,10,2,NA,NA
7/24/08,223.4400024,5.522499084,6.5149994,8,younger,29.3075721,SI,4,12,3,7.5,16,1,1,NA
7/24/08,239.1900024,5.217999267,5.25499725,5,younger,29.61262077,SI,0,0,0,10,17,5,2,NA
7/24/08,217.9100037,5.334285191,5.9799957,7,younger,29.40226861,SI,10,38,3.8,7.5,17,6,2,NA
7/24/08,216.1100006,6.382000732,6.34500125,5,younger,29.61262077,SI,0,0,0,7.5,12,4,0,NA
7/24/08,210.6499939,6.285001119,6.7100067,6,younger,29.50843685,SI,5,13,2.6,3,16,3,0,NA
7/24/08,210.8899994,6.340000153,5.98000335,4,younger,29.64681159,SI,2,28,14,4,24,5,0,NA
7/24/08,215.7200012,6.766667684,6.88500215,3,younger,29.68143116,SI,2,33,16.5,4,9,5,1,NA
7/24/08,191.7400055,4.953333537,5.4399948,9,younger,29.24056489,SI,2,4,2,7.5,10,2,0,NA
7/24/08,229.1799927,6.345001221,6.3450012,2,younger,29.73635266,SI,5,86,17.2,3,55,5,NA,NA
7/24/08,205.6699982,6.111249923,6.52000425,8,younger,29.3075721,SI,3,18,6,7.5,16,6,1,NA
7/24/08,234.5800018,5.066665649,5.0699997,3,younger,29.68143116,SI,4,55,13.75,2,6,0,0,NA
